trial_row_index,word,peers_row_index,matched,embedding_l2_norm
0,CATTLE,80,True,2069.045654296875
1,LIGHTNING,283,True,2022.2581787109375
2,GYMNAST,222,True,1971.5020751953125
3,JEANS,254,True,2254.1640625
4,OX,342,True,2024.8753662109375
5,TABLET,510,True,2064.00927734375
6,DRESSER,156,True,2136.4423828125
7,FRANCE,192,True,2340.466796875
8,DONOR,150,True,2238.97509765625
9,CHEST,87,True,2348.13671875
10,ANTLER,6,True,2117.92529296875
11,ELBOW,165,True,2076.84375
12,ROBOT,425,True,2209.306884765625
13,SHOULDER,457,True,2077.520751953125
14,BEAST,30,True,2424.939208984375
15,CHIPMUNK,89,True,1933.7484130859375
16,BACON,18,True,2454.370849609375
17,MILDEW,313,True,2027.9486083984375
18,CABBAGE,66,True,2159.10888671875
19,GRIZZLY,218,True,2148.607666015625
20,HAND,224,True,2155.886474609375
21,LASER,277,True,2274.555908203125
22,RIFLE,421,True,2132.399169921875
23,SERVER,449,True,2136.355224609375
24,RECORD,418,True,2180.54931640625
25,COBRA,99,True,2430.068115234375
26,OUTDOORS,339,True,2321.0166015625
27,LETTUCE,282,True,1983.406982421875
28,SALAD,432,True,2188.03466796875
29,LAGOON,273,True,2114.88818359375
30,FRIAR,195,True,2078.920654296875
31,TURKEY,534,True,2137.221435546875
32,PORTRAIT,394,True,2052.27001953125
33,SNAIL,473,True,2193.84375
34,FLEET,180,True,2273.16650390625
35,TROMBONE,529,True,2078.178466796875
36,SHOVEL,458,True,1935.4229736328125
37,SERVANT,448,True,2204.285888671875
38,SCRIBBLE,443,True,2126.164794921875
39,GARDEN,202,True,2392.342529296875
40,SKETCH,464,True,2135.302734375
41,ORCHID,338,True,2170.515380859375
42,FLIPPER,182,True,2317.82861328125
43,DAUGHTER,142,True,2218.12939453125
44,PIMPLE,377,True,1967.625244140625
45,FRECKLE,193,True,1946.967041015625
46,PEDAL,365,True,2023.0467529296875
47,PICTURE,373,True,2235.12744140625
48,PEPPER,367,True,2269.99462890625
49,TURNIP,535,True,2004.3941650390625
50,STICKER,491,True,2106.39892578125
51,DOLPHIN,148,True,1990.6260986328125
52,DANDRUFF,140,True,2013.17724609375
53,VALVE,547,True,2230.105712890625
54,BURGLAR,64,True,2011.6993408203125
55,MAMMAL,299,True,2279.0068359375
56,STALLION,486,True,2037.5008544921875
57,QUEEN,409,True,2367.723388671875
58,IGLOO,248,True,2006.7991943359375
59,STATUE,490,True,2041.7664794921875
60,IDOL,247,True,2167.331298828125
61,PLASTER,382,True,2136.425048828125
62,SUNSET,501,True,2239.706787109375
63,VIRUS,552,True,2141.866943359375
64,PRINCESS,401,True,2226.93359375
65,SPHINX,479,True,1924.0045166015625
66,MARROW,304,True,2062.17138671875
